canon_smiles,iso_smiles
CCC#CI,CCC#CI
CC(C)(C)I,CC(C)(C)I
CC(C)(Br)Br,CC(C)(Br)Br
OCC#CI,OCC#CI
Brc1ccsc1,Brc1ccsc1
Ic1cccs1,Ic1cccs1
Brc1cccs1,Brc1cccs1
Brc1cscn1,Brc1cscn1
Ic1ncc[nH]1,Ic1ncc[nH]1
Brc1csnn1,Brc1csnn1
Ic1ccsc1,Ic1ccsc1
Ic1cnc[nH]1,Ic1cnc[nH]1
Ic1nccs1,Ic1nccs1
OCCC#CI,OCCC#CI
CCC(C)(C)Br,CCC(C)(C)Br
C=CC(F)(F)Br,C=CC(F)(F)Br
OCC(Br)(Br)Br,OCC(Br)(Br)Br
CC(Cl)(Br)CO,C[C@@](Cl)(Br)CO
Brc1nncs1,Brc1nncs1
CCCC#CI,CCCC#CI
Ic1cn[nH]c1,Ic1cn[nH]c1
Brc1cnsc1,Brc1cnsc1
CC(Cl)(Br)CO,C[C@](Cl)(Br)CO
Brc1nccs1,Brc1nccs1
CCC(C)(C)I,CCC(C)(C)I
Brc1cncs1,Brc1cncs1
Ic1nc[nH]n1,Ic1nc[nH]n1
Clc1ccc(Br)s1,Clc1ccc(Br)s1
Clc1ccc(Cl)s1,Clc1ccc(Cl)s1
CCC1CC1(Br)Br,CC[C@H]1CC1(Br)Br
Brc1n[nH]nc1Br,Brc1n[nH]nc1Br
Brc1ccoc1Br,Brc1ccoc1Br
Ic1ccncc1,Ic1ccncc1
Brc1cnc(Br)s1,Brc1cnc(Br)s1
COC(=O)C#CBr,COC(=O)C#CBr
Cn1cc(I)cn1,Cn1cc(I)cn1
[NH3+]CCC(F)(F)Br,[NH3+]CCC(F)(F)Br
Clc1cc(Br)cs1,Clc1cc(Br)cs1
Cc1csc(Br)n1,Cc1csc(Br)n1
Cc1oncc1I,Cc1oncc1I
Cn1cnc(Br)c1,Cn1cnc(Br)c1
Cc1c[nH]c(I)n1,Cc1c[nH]c(I)n1
OC(O)C(Cl)(Cl)Cl,OC(O)C(Cl)(Cl)Cl
Cc1nnc(Br)s1,Cc1nnc(Br)s1
Brc1n[nH]c(Br)n1,Brc1n[nH]c(Br)n1
Ic1cccnc1,Ic1cccnc1
Brc1ccccc1,Brc1ccccc1
Brc1c[nH]cc1Br,Brc1c[nH]cc1Br
Brc1cccnc1,Brc1cccnc1
Ic1ccccn1,Ic1ccccn1
Ic1cncnc1,Ic1cncnc1
Cc1ccsc1Br,Cc1ccsc1Br
Brc1csc(Br)n1,Brc1csc(Br)n1
N#CC(Br)(Br)C#N,N#CC(Br)(Br)C#N
Cn1ccnc1I,Cn1ccnc1I
Brc1cocc1Br,Brc1cocc1Br
Cc1cnc(I)[nH]1,Cc1cnc(I)[nH]1
CC1C(C)C1(Br)Br,C[C@@H]1[C@@H](C)C1(Br)Br
Ic1nc[nH]c1I,Ic1nc[nH]c1I
